Date,0,1,2,3,4,5,6,7,8
12/23/2008,1.204744301,1.04189926,1.252714156,-0.744153305,-5.142831792,-1.553834854,-1.440655693,19.60303494,98.44908099
12/22/2008,0.696535135,1.35099337,1.676343699,-1.313404631,-5.143546962,-1.505366074,-1.31401726,19.62817125,98.52428948
12/19/2008,0.041532651,1.038057376,1.594149001,-1.767378457,-5.093929559,-1.447581199,-1.186541332,19.65217593,98.59951559
12/18/2008,-1.144988861,0.275414605,1.1005176,-2.108334061,-4.99313371,-1.38100762,-1.058273136,19.67504756,98.67475862
12/17/2008,1.193484692,-0.569954212,0.355014834,-2.347695663,-4.842085059,-1.306309269,-0.929257899,19.69678472,98.75001786
12/16/2008,-1.291569003,-0.576028942,-0.482793961,-2.496410469,-4.642186266,-1.224150082,-0.79954085,19.71738599,98.82529258
12/15/2008,-0.582993835,-0.202574885,-1.247240434,-2.565152309,-4.395113367,-1.13519399,-0.669167215,19.73684995,98.90058208
12/12/2008,0.04401168,0.169612449,-1.74638813,-2.566122131,-4.10389055,-1.040104927,-0.538182222,19.75517518,98.97588565
12/11/2008,0.558650018,0.306709448,-1.789714295,-2.520170024,-3.772858049,-0.939546826,-0.406631098,19.77236025,99.05120258
12/10/2008,1.560115656,0.076265782,-1.292044447,-2.443820122,-3.406707066,-0.83418362,-0.274559072,19.78840374,99.12653215
12/9/2008,1.699096387,-0.345489236,-0.392733596,-2.349209943,-3.010152887,-0.724679244,-0.14201137,19.80330424,99.20187365
12/8/2008,-1.554238893,-0.29914029,0.635502489,-2.24777035,-2.587910796,-0.611697629,-0.00903322,19.81706032,99.27722637
12/5/2008,1.291729922,0.349543764,1.473663999,-2.150932205,-2.144696078,-0.49590271,0.124330151,19.82967056,99.3525896
12/4/2008,-0.953291662,0.024131098,1.855339698,-2.070126371,-1.685224017,-0.377958419,0.258033514,19.84113354,99.42796262
12/3/2008,0.617642294,-0.209781562,1.730411854,-2.012356208,-1.214209899,-0.25852869,0.392031643,19.85144784,99.50334473
12/2/2008,-0.36631971,0.159228733,1.133028948,-1.96691506,-0.736369006,-0.138277455,0.52627931,19.86061203,99.57873521
12/1/2008,0.250935864,-0.179404781,0.437933625,-1.918668773,-0.256416626,-0.01786865,0.660731287,19.8686247,99.65413335
11/28/2008,-0.279135414,0.08541152,-0.177123887,-1.852483187,0.220931959,0.102033794,0.795342347,19.87548442,99.72953845
11/26/2008,0.591308044,0.393375558,-0.739396678,-1.753224146,0.690961464,0.220765944,0.930067263,19.88118978,99.80494977
